"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NM_001008368",1804.64910371825,-0.00531119126958244,0.168197164685219,-0.0315774918238082,0.974808993359416,0.990108886692546
"NM_001106284",12.3038275384886,-0.192654858194689,0.384949797836421,-0.498109106309706,0.618407142467375,0.807468252335572
"NM_001039611",486.830583032615,0.214724925906746,0.218882954336602,0.981082293535569,0.326552161347683,0.581545660875674
"NM_001012742",217.789831502508,0.111960932300709,0.352369144783488,0.317752626216758,0.750672588397305,0.884470066354831
"NM_001105731",10.9272270723278,0.193257282124011,0.388708182059561,0.498437501784681,0.618175709771732,0.807468252335572
"NM_001024899",54.784153717888,0.290585141408295,0.285677457347744,1.01701361144303,0.309146954285942,0.563627799263513
"NM_013070",1215.04431770302,-0.327298074573785,0.235957759376529,-1.38698017260567,0.165447808866875,0.395944167427891
"NM_001108458",16.9008813407376,0.530152597008857,0.375664882245102,1.40603733274281,0.159713039302395,0.387406896155115
"NM_001107515",40.9815539331525,0.407614596249166,0.32736374962846,1.24841285549224,0.211879903578532,0.454825272412774
"NM_080894",37.8556703483681,-0.0569577626177704,0.381176199419284,-0.149190095122305,0.881403635473294,0.949667686647527
"NM_001190999",112.149135672938,-0.675381551204948,0.22045001197976,-3.05767475936157,0.00223061532937469,0.0239883277306709
"NM_012689",160.921024770383,-1.327247412033,0.374353613344374,-3.56175518872699,0.000368383808036603,0.00618594115285743
"NM_020093",109.468688788563,0.276366039643172,0.330210515299894,0.836614592559715,0.402809240426932,0.654165989809867
"NM_001101008",193.70513630696,0.669361310218308,0.242555005024743,2.7600827279698,0.00577867262111912,0.0470961121073914
"NM_133406",62.4284932468436,0.298913804522969,0.317511822926904,0.941306793823504,0.346547662192311,0.600892577533706
"NM_001106231",39.4848922694653,0.604314314904802,0.351430596757753,1.72276403326237,0.0849312053723423,0.2712406114431
"NM_017156",3.92727465421565,0.0815341710407094,0.376977509699982,0.221795375985033,0.824473179246741,0.921139253917923
"NM_031139",1664.0521874793,0.0722917649395818,0.194072537848235,0.372499050545262,0.709521318772965,0.862631118737634
"NM_001039037",141.902625781405,0.361803268525372,0.219211951716983,1.65101904499251,0.0987346861121052,0.295825165789831
"NM_053557",304.310033584541,0.513807992182324,0.208867556608874,2.46008415150449,0.0138904441948073,0.0852532753520455
"NM_031013",14608.5633612444,-0.705715627269865,0.128088621334643,-5.50952584997085,3.59801555976582e-08,2.84397429888347e-06
"NM_001127504",2405.69438167121,-0.813763806884256,0.244944371802095,-3.32212648547073,0.000893341876992646,0.0120264248306577
"NM_001106268",232.442552195008,0.326592728282745,0.258155842742759,1.26476139152178,0.205956875311588,0.447759391112398
"NM_001106271",2522.34249652347,0.514378693587374,0.243532878992736,2.11218627728717,0.0346704750745421,0.156533446419781
"NM_177481",53.2616631271719,-0.000352608574313569,0.391953213965773,-0.000901504378856642,0.999280703672044,0.999517175239098
"NM_031238",468.490737399418,-0.259985968185943,0.183181879068434,-1.41912782310804,0.155861753662791,0.381239312478846
"NM_053554",3092.37642166002,0.364560604790207,0.197488431842437,1.84599325011838,0.0648931855145684,0.228696812389877
"NM_001013896",3039.64159592809,-0.292078128145753,0.376799500052986,-0.775427433015145,0.438087130085747,0.684569759643589
"NM_001107536",571.589339709816,0.0837966624105747,0.214185476630675,0.391194514974057,0.695653462341312,0.855724901541681
"NM_001024751",198.581386518624,0.0833532913301603,0.32846598503992,0.253679378355111,0.79974326671081,0.90972565623498
"NM_172067",74.1570854671244,-0.256412225258452,0.387984799798163,-0.660446003804448,0.508967658518825,0.733475667543233
"NM_001107542",3962.40374831705,0.0584163152637349,0.185153984971317,0.315501151408739,0.752381176973543,0.884880102465237
"NM_012713",35.9986496732402,0.065863467003814,0.346497486925933,0.190028016283212,0.849287176694738,0.933571965075093
"NM_001172305",56.3713845447365,-0.26623910158778,0.325122708547914,-0.818349918409446,0.413157409919362,0.663245080957415
"NM_001013193",932.383170312607,0.123268600143428,0.1609475616709,0.765905033179457,0.443732810884071,0.689558669462594
"NM_001106300",1128.04702516808,-0.0399092906880735,0.134620913945109,-0.296456581530402,0.766881420319886,0.894111475870136
"NM_001108923",674.899555948892,0.432615855660734,0.254000421631946,1.70335150875107,0.0885023065829935,0.277362368917419
"NM_201350",146.052760049903,-0.906797757718817,0.339438666517138,-2.66963961135753,0.00759326984648341,0.0573563987175327
"NM_032073",32.6633812195957,0.255418117500654,0.364956593462974,0.699869360966381,0.484008893280595,0.718256995178096
"NM_134380",3920.9199492684,-1.84885019049708,0.213255163844894,-8.66797644251038,4.39867703224896e-18,2.02815666828613e-15
"NM_053823",307.054644941454,0.287315157583453,0.379103495173515,0.758026685353294,0.448435007631074,0.6925864332792
"NM_001100975",814.146922661306,-0.186845485474827,0.213918461484874,-0.873467836276542,0.382408130051014,0.636445836538505
"NM_001024974",238.305714527763,0.0491443905663942,0.173059326740293,0.283969944065501,0.776433414035929,0.898370154717857
"NM_001013152",6134.79442789315,0.786847474231906,0.327311744711661,2.40500473026781,0.0161722564509372,0.0941906262558267
"NM_001107585",1005.19258858549,0.0386277425193896,0.231886750962413,0.166583490920132,0.867697784515975,0.942290842340901
"NM_053773",1013.80807409239,-0.680351459128932,0.162868172044899,-4.17660782504327,2.95888516333425e-05,0.000864071498143459
"NM_001037793",1653.04085476947,0.105070418602959,0.165259648474199,0.635781491574432,0.52491885260706,0.743948773431062
"NM_013155",98.2697890596216,0.341644137111888,0.379016534253402,0.900489222456029,0.367859958252579,0.621866528876114
"NM_001354115",145.421062856041,-0.401186767590716,0.308722977539611,-1.29847597701834,0.194123826092998,0.433974597887902
"NM_133400",1354.26933176973,-0.537540543901977,0.279085555508538,-1.92602516151368,0.0541012321516465,0.205252662734201
"NM_017365",1984.8245307927,0.400725522108051,0.367569323687605,1.09073656698145,0.275388815420992,0.529439303587335
"NM_017158",3601.48512410879,-0.398130904739316,0.394806313055985,-1.01184047496493,0.311614333993052,0.566041401833078
"NM_001007148",362.547042479256,0.143441181081843,0.194938307775758,0.735877499232827,0.461805251738465,0.703321898670225
"NM_001107606",342.690388943464,-0.269439994407748,0.191635390479164,-1.40577236122063,0.159791731718613,0.387406896155115
"NM_001191052",845.890431858207,-0.775167453269533,0.182608876860059,-4.243875975215,2.19691803724539e-05,0.000675161300000788
"NM_001047087",7304.42470752974,0.267675169840602,0.174099343915701,1.53748363003613,0.124174920742122,0.337888527855584
"NM_001108457",485.082400518633,0.745899268107705,0.212961541335301,3.5025509488918,0.000460825641890134,0.0073268628637302
"NM_030843",40.097436937366,0.372663164521793,0.315747571904113,1.1810984608656,0.237563611310107,0.48476469163888
"NM_001108901",26.6571166712916,-1.38167122635559,0.366515697071498,-3.68687966890256,0.0002270206376373,0.00430445074254169
"NM_001107470",559.82347930064,0.382959810080192,0.156135992006439,2.45291308228209,0.0141704573973232,0.0866355146733583
"NM_001276762",17.0181617228373,1.09844748071747,0.36596920443734,2.98989912394746,0.00279069592907719,0.028110692870989
"NM_214458",98.4578250412511,0.32423385280507,0.223619638622227,1.4500333205479,0.147049227638026,0.369409024527217
"NM_001134425",209.942158865526,0.469365531956022,0.292813030578478,1.60360143580356,0.108801934062468,0.313215973552359
"NM_024137",200.499506704839,0.510606479783126,0.303173676625169,1.68401591351842,0.0921785933336468,0.285009308139183
"NM_001106264",535.260530310607,0.632515567310121,0.256993103587218,2.46174677322962,0.0138262246396856,0.0850005565904225
"NM_001277694",568.628264516553,1.57629848404365,0.269844620052648,5.84077815560533,5.1957555301297e-09,5.22693006331048e-07
"NM_001106270",39.2487870091496,-0.0740381053345809,0.280334820482945,-0.263967297967803,0.791805117697636,0.906113281534854
"NM_001002277",158.058111809197,-0.0375037062003523,0.215161107695925,-0.174326108114745,0.861609182069563,0.939226663469105
"NM_001029902",1457.81348772524,0.194606324641169,0.160770904004126,1.21048538878561,0.226092694044803,0.47118232385758
