"","geneid","SRR1177981","SRR1177982","SRR1177983","SRR1178008","SRR1178009","SRR1178010","SRR1178014","SRR1178021","SRR1178047"
"16201","NM_001106106","143","192","244","333","400","275","491","702","802"
"16202","NM_001106107","234","276","294","176","225","264","253","368","335"
"16203","NM_001100511","231","199","229","333","396","392","348","514","579"
"16204","NM_001008891","2257","2168","2753","3261","2486","4988","4927","6837","6761"
"16205","NR_110686","0","2","0","65","4","11","5","8","2"
"16206","NM_001013055","97","92","82","111","117","144","162","257","316"
"16207","NM_001006966","2504","3486","3314","4541","1759","2240","3970","3989","3069"
"16208","NM_001013885","7","32","23","15","7","6","12","15","7"
"16209","NM_001009275","7325","9448","9314","5627","2041","3349","6380","6140","4534"
"16210","NM_001011923","1083","1283","1487","1142","1185","1879","1575","2173","2110"
"16211","NR_024023","2","0","0","4","0","0","2","6","0"
"16212","NM_001107349","0","0","0","0","0","0","0","2","0"
"16213","NM_001025719","658","930","798","935","1874","1081","934","632","950"
"16214","NM_001129879","142","232","166","233","268","273","413","709","633"
"16215","NM_001013886","12","4","17","12","0","11","8","26","44"
"16216","NM_001037206","1332","1374","1198","1176","451","685","1867","971","1380"
"16217","NM_001107350","647","684","658","796","727","925","810","1014","1085"
"16218","NM_001109119","418","630","606","1997","548","764","2897","1874","4003"
"16219","NM_199085","175","162","176","131","114","214","194","197","267"
"16220","NM_001004214","830","1147","886","690","738","683","1027","853","849"
"16221","NM_001107351","0","0","0","0","0","1","0","0","0"
"16222","NM_001346368","0","86","40","92","0","0","196","143","2"
"16223","NM_001012214","34","37","38","49","20","44","71","57","85"
"16224","NM_001007732","508","479","494","365","112","465","953","661","1291"
"16225","NM_172332","203","291","282","399","198","342","345","431","569"
"16226","NM_001031642","38","52","40","29","44","30","56","30","108"
"16227","NM_001109635","0","0","0","0","0","0","0","2","0"
"16228","NM_134338","0","2","4","2","0","2","2","4","2"
"16229","NM_022858","6","14","10","148","42","58","6","54","29"
"16230","NM_001134846","0","0","8","1","2","0","4","2","4"
"16231","NM_001106108","0","8","4","8","2","6","30","45","50"
"16232","NM_001008888","2477","3220","2821","3155","4026","2725","4196","4434","4241"
"16233","NM_001109120","109","170","136","42","30","40","184","154","242"
"16234","NM_001137626","176","119","166","206","163","147","204","208","251"
"16235","NM_001271205","58","70","62","112","24","40","156","261","478"
"16236","NM_001044702","0","0","0","0","0","0","0","0","0"
"16237","NM_017036","0","0","0","0","0","0","0","0","0"
"16238","NM_001044271","0","0","0","0","0","0","0","0","0"
"16239","NM_053791","0","0","0","0","0","0","0","0","0"
"16240","NM_053364","0","0","0","0","0","0","0","0","0"
"16241","NM_022530","0","0","0","0","0","0","0","0","0"
"16242","NM_001008341","0","0","0","0","0","0","0","0","0"
"16243","NM_153738","0","0","0","0","0","0","0","0","0"
"16244","NM_134385","0","0","0","0","0","0","0","0","0"
"16245","NM_021580","0","0","0","0","0","0","0","0","0"
"16246","NM_022537","0","0","0","0","0","0","0","0","0"
"16247","NM_173110","0","0","0","0","0","0","0","0","0"
"16248","NM_020079","0","0","0","0","0","0","0","0","0"
"16249","NM_022846","0","0","0","0","0","0","0","0","0"
"16250","NM_138861","0","0","0","0","0","0","0","0","0"
"16251","NM_022176","0","0","0","0","0","0","0","0","0"
"16252","NM_012535","0","0","0","0","0","0","0","0","0"
"16253","NM_031316","0","0","0","0","0","0","0","0","0"
"16254","NM_017363","0","0","0","0","0","0","0","0","0"
"16255","NM_012629","0","0","0","0","0","0","0","0","0"
"16256","NM_133549","0","0","0","0","2","0","0","0","0"
"16257","NM_001106109","0","0","0","2","0","0","0","0","0"
"16258","NM_024001","217","242","261","332","402","207","366","493","385"
"16259","NM_022851","2385","2866","2912","2687","1174","874","2312","1329","1379"
"16260","NM_001034947","492","592","502","574","755","731","651","817","815"
"16261","NM_001197023","0","0","0","0","0","0","0","0","0"
"16262","NM_001106111","127","199","174","153","189","113","191","136","174"
"16263","NM_001017510","0","0","0","0","0","0","0","0","0"
"16264","NM_001106112","35","22","66","39","42","22","52","64","115"
"16265","NM_001305277","1649","1887","1978","2232","2157","1803","1523","2300","2351"
"16266","NM_021839","0","0","0","2","0","1","3","3","0"
"16267","NM_022643","3","0","4","3","0","1","3","4","2"
"16268","NM_133554","287","376","331","819","123","168","322","439","697"
"16269","NM_001271214","1282","1468","1319","1065","379","319","1332","1058","1433"
"16270","NM_053301","92","119","126","106","63","82","155","113","93"
"16271","NM_001173435","0","0","0","0","0","0","0","0","0"
"16272","NM_001173434","0","0","0","0","0","0","0","0","0"
"16273","NM_012579","2","3","2","2","0","5","2","8","0"
"16274","NM_001107352","1397","1233","1752","2111","539","1551","2635","1663","2072"
"16275","NM_133285","0","0","2","2","3","0","1","7","1"
"16276","NM_001106113","13","16","6","25","15","21","15","5","16"
"16277","NM_001315492","0","0","2","0","2","2","4","2","14"
"16278","NM_001024282","2","0","2","0","5","0","2","4","2"
"16279","NM_153622","1951","2140","2425","5504","626","1603","5887","6487","11129"
"16280","NM_001107353","2580","3778","3025","3412","542","821","1660","1099","1109"
"16281","NM_022647","3","1","0","0","2","3","14","5","8"
"16282","NM_001170337","3","4","0","0","0","2","0","0","1"
"16283","NM_001013056","0","0","0","1","0","0","0","0","0"
"16284","NM_001025674","193","208","184","251","246","224","295","311","351"
"16285","NM_001135084","165","152","127","153","112","145","162","219","208"
"16286","NM_001162931","0","0","0","0","0","0","0","0","0"
"16287","NM_001109400","0","0","0","2","0","0","14","0","2"
"16288","NM_001162930","0","0","0","0","0","0","0","0","0"
"16289","NM_022686","621","431","403","1219","624","611","510","262","310"
"16290","NM_001033710","0","1","0","0","0","0","2","2","8"
"16291","NM_001109417","0","0","2","7","0","2","2","0","3"
"16292","NM_001109423","0","0","0","0","2","0","0","0","2"
"16293","NM_001108414","2","0","1","0","0","0","0","0","2"
"16294","NM_021860","0","0","0","0","0","0","0","0","0"
"16295","NM_001271221","2","0","0","4","0","2","0","0","2"
"16296","NM_001106114","3","2","0","0","0","0","0","0","0"
"16297","NM_001000536","0","0","0","0","0","0","0","0","0"
"16298","NM_001100574","184","170","154","174","104","180","218","280","244"
"16299","NM_001000105","0","0","0","0","0","0","0","0","0"
"16300","NR_128670","88","88","60","77","100","85","87","98","111"
"16301","NM_001029913","0","0","0","6","2","0","0","0","0"
"16302","NM_001012053","409","410","534","545","605","474","470","565","480"
"16303","NM_001105738","0","0","0","0","0","0","0","0","0"
"16304","NM_147165","0","0","0","0","0","0","0","0","0"
"16305","NM_001134974","411","437","568","682","569","808","1029","1413","1758"
"16306","NM_001000106","0","0","0","0","0","0","0","0","0"
"16307","NM_001000107","0","0","0","0","0","0","0","0","0"
"16308","NM_001001007","0","0","0","0","0","0","0","0","0"
"16309","NM_181767","0","0","0","0","0","0","0","0","0"
"16310","NM_053544","0","0","0","0","0","0","0","0","0"
"16311","NM_001007625","2","0","2","2","0","0","0","0","4"
"16312","NM_001008298","265","296","246","335","325","311","573","733","720"
"16313","NM_001107356","429","450","514","647","1307","740","1049","1604","1948"
"16314","NM_031093","234","231","202","199","206","203","460","446","769"
"16315","NM_001109452","193","153","156","168","181","164","264","322","327"
"16316","NM_017128","109","94","55","60","10","33","127","51","71"
"16317","NM_017279","674","888","810","995","1075","1074","1454","1775","1675"
"16318","NM_001014010","416","372","371","597","650","816","534","888","720"
"16319","NM_001106116","341","459","427","464","370","399","565","723","777"
"16320","NM_001007626","153","217","172","121","218","197","273","266","349"
"16321","NM_001144851","379","347","412","355","390","545","589","770","640"
"16322","NM_057202","485","501","635","671","763","757","1044","1207","1337"
"16323","NM_001308265","332","392","294","555","316","357","470","626","623"
"16324","NM_053847","68","57","66","101","213","321","68","84","99"
"16325","NM_001108882","0","0","0","0","0","0","0","4","0"
"16326","NM_139082","64","96","115","122","104","65","86","109","161"
"16327","NM_001108417","736","1111","860","896","886","845","1784","1967","1758"
"16328","NM_017334","0","0","0","0","0","0","0","0","0"
"16329","NM_001271102","0","0","0","0","0","0","0","0","0"
"16330","NM_001271248","0","0","0","0","0","0","0","0","0"
"16331","NM_001271247","0","0","0","0","0","0","0","0","0"
"16332","NM_001271246","0","0","0","0","0","0","0","0","0"
"16333","NM_001271245","0","0","0","0","0","0","0","0","0"
"16334","NM_001170421","0","4","0","0","0","0","0","0","4"
"16335","NM_001012468","814","986","941","928","1253","1302","1043","1409","1218"
"16336","NM_001044251","894","1673","1144","893","619","782","789","625","606"
"16337","NM_001100487","0","0","0","0","0","2","0","0","0"
"16338","NM_001191893","515","734","698","713","487","1258","1008","1731","1543"
"16339","NM_001105978","49","69","51","57","49","70","94","196","148"
"16340","NM_053862","2289","3309","2902","2854","1601","1764","4020","3480","3598"
"16341","NM_001108418","401","245","539","861","659","620","1139","1561","2084"
"16342","NM_001170325","18","24","28","53","12","8","108","78","153"
"16343","NM_172330","0","0","0","0","0","0","0","0","0"
"16344","NM_203367","0","0","0","0","0","0","0","0","0"
"16345","NM_203366","0","0","0","0","0","0","0","0","0"
"16346","NM_203368","0","0","0","0","0","0","0","0","0"
"16347","NM_001192008","1","5","5","2","7","0","0","7","6"
"16348","NM_053539","1609","1656","1637","2090","196","385","3450","830","1265"
"16349","NM_206847","48","47","34","34","15","46","61","70","107"
"16350","NM_031642","471","447","294","2716","4657","894","2334","2583","4503"
"16351","NM_001164396","587","406","358","205","28","16","381","215","128"
"16352","NM_001008342","1177","1295","1075","1364","616","520","2151","2028","1992"
"16353","NM_001135744","73","50","49","21","14","8","8","46","27"
"16354","NM_001170342","1103","674","620","1103","577","439","638","634","1644"
"16355","NM_001033697","1608","957","803","439","121","90","652","274","361"
