"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NM_001008368",2124.78092040922,0.119107746220266,0.127437043219744,0.934643622232051,0.349971990252577,0.516208848954071
"NM_001106284",31.4861313084244,-1.12606074594737,0.337768567899813,-3.31538741530894,0.000915161964379023,0.00508078786613136
"NM_001039611",666.207347862985,-0.503668680384454,0.143130714911267,-3.51896588298689,0.000433232416621478,0.00278853861877012
"NM_001012742",423.57585887037,-1.05114870647543,0.294589159915991,-3.56732052195431,0.000360650236171111,0.00240923599818442
"NM_001105731",9.95189922211343,0.28597644663008,0.411723069629694,0.696415778019107,0.486168484808847,0.642214962657776
"NM_001024899",65.7668694151926,-0.256124164626699,0.284636131028771,-0.899249948084076,0.368519540913673,0.535281595357321
"NM_001107611",10.1158287150496,0.637010718949628,0.411294441965822,1.55195770741483,0.120672343482479,0.241597448026538
"NM_013070",1442.11162109549,0.45002741755848,0.164901739176374,2.72886998261334,0.00635517550548955,0.0247433343679447
"NM_001108458",17.1165352348864,-0.229809951437697,0.401134154543826,-0.569929877953096,0.568725259225095,0.71277083952271
"NM_001107515",169.315436001987,-2.50810911434141,0.273863472440489,-9.11702287577243,7.72162931931807e-20,1.58155514808175e-17
"NM_080894",37.8069482990806,0.641770687895214,0.327018266196061,1.95631782975759,0.0504277251080266,0.124952691075624
"NM_001190999",171.329364632084,0.0118549639800315,0.180145169323101,0.0658011638595812,0.947536129620454,0.971419324879031
"NM_012689",208.996695204238,1.31241081556502,0.325960871181334,4.02630276975388,5.66607229270149e-05,0.000499921916902201
"NM_020093",132.348617475004,-0.276870182441285,0.261130456156831,-1.05968753176602,0.289286776938657,0.450449373159743
"NM_001101008",207.100813014142,-0.402133980366049,0.171998567470214,-2.33799832406524,0.0193873350837842,0.0603453822010869
"NM_133406",70.9822418059744,-0.156821823485438,0.278601814603411,-0.562738093719859,0.573613240482785,0.715301572987339
"NM_001106231",39.4921399444977,-0.265707071547121,0.354548642481111,-0.749770638634063,0.453392855220125,0.613538505668565
"NM_017156",10.0537349738113,-0.819839983976215,0.410240183180936,-2.07302730375922,0.0381697386100123,0.101063458415706
"NM_031139",1893.25625472388,0.131552992846838,0.151852349087479,0.866313698501049,0.386318156170317,0.552158162152466
"NM_001039037",180.546230566221,-0.435185063880803,0.27185488120873,-1.6006202530994,0.109461053678816,0.224761597868961
"NM_053557",596.338924371481,-1.48749529942141,0.174345246490577,-8.52780357473575,1.49152518346571e-17,2.13847423179397e-15
"NM_031013",14741.2658053861,1.45943946489405,0.253498543491471,5.7578008327706,8.52168134363911e-09,2.31072541398441e-07
"NM_001127504",3103.71946074881,0.668647559323916,0.181918527502008,3.67544617054,0.000237434101458479,0.00171620473401696
"NM_001106268",215.878093160584,0.399311322358109,0.231510455163803,1.72384132490321,0.0847364920935698,0.18569498744999
"NM_001106271",2841.72322477639,-0.352082291379771,0.163109509861693,-2.15853556817696,0.0308862161201267,0.0863639441486721
"NM_177481",46.1673909553512,0.746258927175221,0.405728263098554,1.851924020566,0.0640367341075939,0.150512569716005
"NM_031238",441.414496309848,1.22576884535847,0.203344286781509,6.02437226298507,1.6976721921525e-09,5.19261334506377e-08
"NM_053554",3338.4360853685,-0.0515254459651138,0.124153975903728,-0.415009699580666,0.678134802541403,0.798577462058551
"NM_001013896",3561.79635996004,0.529733117736821,0.267490808157695,1.98046886840812,0.0476508681320743,0.119674941422135
"NM_001191628",6.49239567044104,-0.512390497279312,0.404468063880851,-1.27485371929538,0.202361022655777,0.350987589575346
"NM_001107536",597.268128807782,0.371634157858221,0.195866916608402,1.89708554742123,0.0578166483584062,0.139143297664901
"NM_001024751",219.819309162279,0.1726854138677,0.251302171446335,0.686931361122923,0.492125983164964,0.64769765082067
"NM_172067",71.9007221174118,0.922589813308106,0.385887967336717,2.38946603108516,0.0168728841023726,0.0541954580381443
"NM_001107542",4516.81794553342,0.144825729407052,0.121450613073667,1.19246068417446,0.233080657886773,0.387510529926263
"NM_012713",34.9354626372862,0.547116619363175,0.324116173054865,1.68507104981002,0.091974864352718,0.196897755668872
"NM_001172305",57.6119052037822,0.826470424679795,0.325982313555554,2.52977200792247,0.0114136665757364,0.0394797212375442
"NM_001106304",10.2790758590727,0.910289810329612,0.408737582136089,2.20482610875823,0.0274662991935936,0.0790389873392023
"NM_001013193",1067.59253387645,0.0613082444661112,0.118522912888258,0.517265213914069,0.604971033633221,0.741982223671198
"NM_001106300",1421.46449773132,-0.0397598240728031,0.129089740408841,-0.3080030585303,0.758080005034305,0.853137525288803
"NM_001108923",632.585888222258,0.238053154848058,0.181967581625472,1.30820694513546,0.19080312706499,0.336745940519378
"NM_201350",210.023318906224,0.49508378840044,0.228828843523422,2.16340719052598,0.0305098750186581,0.085499209983877
"NM_032073",33.4930664508137,0.100790266548752,0.311581730933516,0.323038364290779,0.746666187805851,0.845852955469937
"NM_134380",4343.09106411498,1.13561389596612,0.405473777079275,3.01334861845801,0.00258381913114871,0.0120375326702988
"NM_053823",284.87886556046,0.3296853256012,0.185924778046567,1.77268462344122,0.0762809804507669,0.171591066046342
"NM_001100975",1164.75055178455,-0.236891657344574,0.14956015283708,-1.58400698931854,0.113192128582,0.230524452208016
"NM_001024974",331.226877309806,-0.377392993040609,0.153604705971894,-2.45680517539101,0.0140178684762921,0.0468136700658396
"NM_001013152",3894.18659403251,0.786593941331363,0.194782046829541,4.03822785069547,5.38565282427459e-05,0.000476279397798224
"NM_001107585",1242.91697358603,-0.0702317075828366,0.132205532346862,-0.531230875671739,0.595258799582817,0.733492787681656
"NM_053773",1567.49626391965,-0.0460413965345821,0.187245571167385,-0.245888136133131,0.805768827933317,0.885098111469332
"NM_001037793",1757.44705660791,0.29468964466784,0.195949812184041,1.50387066596491,0.132614671366317,0.257843120501184
"NM_013155",168.009729020697,-0.928799515091715,0.365731638807475,-2.53726043112736,0.0111723806545594,0.0388160793293888
"NM_001354115",183.485501902379,0.332469091720696,0.289818936600043,1.14657361553146,0.251557886197307,0.40915611949562
"NM_133400",1840.13849379407,0.235677825376624,0.296884936415145,0.793852878944701,0.427281084396235,0.59040043826344
"NM_017365",2327.22934285939,-0.465408540523037,0.164227456384885,-2.83402050704522,0.00459663821446729,0.0191360462022744
"NM_017158",16386.3659249564,-1.11886162701222,0.411712105802115,-2.78865488988384,0.00529274316997029,0.0214363574009743
"NM_001007148",406.196162717459,0.0944971233372372,0.209925678334198,0.450130582297986,0.65261628646399,0.778362150955804
"NM_001107606",425.349085771775,0.226788810485578,0.22846094690835,0.99265897753236,0.32087617274619,0.485803814862566
"NM_001191052",1033.90262794451,0.774922948238007,0.208202689847978,3.72168056485951,0.000197901275649846,0.00147493673275096
"NM_001047087",10246.6109816401,-0.597960472763744,0.156304029023645,-3.82559614825629,0.00013045600474936,0.00103409148201462
"NM_001108457",446.227452286473,-0.0912073692037606,0.154468756553017,-0.590438129436818,0.554896953936971,0.702734687165403
"NM_030843",34.5965191482405,0.466550413362887,0.313189836201394,1.48731866835447,0.136930666230544,0.264395630633998
"NM_001108901",42.3746968104797,0.58255310540131,0.337484824537417,1.72202260397298,0.0850654238786323,0.186273465423427
"NM_001107470",659.869332931068,-0.294058278589267,0.131578780664694,-2.23486676085038,0.0254260973183262,0.0744922953361946
"NM_001276762",23.8091748128733,-1.19755352367456,0.392745100926272,-3.03532367497511,0.00240277672613585,0.0113555208276795
"NM_214458",94.703438982597,0.291397422391264,0.275203134782763,1.05837818462111,0.289883061072428,0.45094278373067
"NM_001134425",334.88921573616,-1.06176582597076,0.232138601661134,-4.57364837046247,4.79303981092927e-06,5.9314859440744e-05
"NM_024137",203.03961161151,-0.121852791633594,0.302529779620077,-0.402618550441382,0.687228860815087,0.804670291851435
"NM_001106264",478.78708072704,0.0900189858765857,0.1689732988122,0.532791671064102,0.594177800018837,0.732724911340503
"NM_001277694",519.458084904316,-1.09348638774418,0.277297945191066,-3.94252438014414,8.06284510957696e-05,0.000682515375696293
"NM_001106270",51.2837016736737,-0.0784911571854458,0.292447094958095,-0.268452887561447,0.78835073453169,0.8743360012646
"NM_001002277",244.382472875045,-0.527552368760756,0.233261951275438,-2.26167570816761,0.0237174466437005,0.0708435190112617
"NM_001029902",1815.82239781008,-0.2447182614308,0.120677182183602,-2.02788428467179,0.0425720594272525,0.109725402392961
"NM_001170575",519.686528650584,-0.177136450383978,0.213142289500959,-0.831008420356607,0.405968872549845,0.571134915754534
"NM_001195606",2045.33942043791,0.63309608268183,0.247984425985747,2.55298861144973,0.0106802988368245,0.0374741595773562
"NM_001001801",109.916094678556,-0.269997573613913,0.247940741429662,-1.08859684595022,0.276331708278854,0.435853230742361
"NM_019370",3898.65492279412,0.471131005179516,0.263985849949999,1.78470393892967,0.074309351699675,0.167880296237004
"NM_053535",2638.23719139768,0.359230508558483,0.209578602580321,1.71402856836354,0.0865234792366168,0.188112835249038
"NM_021869",1080.39585930186,0.207964973339482,0.152718796075554,1.36176884221735,0.173270847541566,0.314265752894017
"NM_001107451",270.063700447636,0.404874696152105,0.407840867621065,0.9994580990677,0.317572827241628,0.482507545865108
"NM_001044295",12.0630150937427,-0.151497717088587,0.397735216845807,-0.382439892453203,0.702135105202173,0.814550386050765
"NM_198051",261.310437310324,-0.365845933432106,0.204249987912525,-1.79153132438811,0.0732080725357358,0.166210726837864
"NM_001100990",99.2048216093682,0.631654020773494,0.273509943202685,2.30618466193659,0.021100316248678,0.0645560489123331
"NM_130428",9822.14926342832,0.500372938642618,0.1770978598606,2.82539541640675,0.00472223008711039,0.019518551026723
"NM_001107454",68.1954639658444,-0.17601307595204,0.303750967605485,-0.578795651398965,0.562727065711451,0.708088499915504
"NM_001107453",646.867154012854,-0.171510490232643,0.149590740142438,-1.14662026198899,0.251538598578748,0.40915611949562
"NM_001040128",1437.0826406448,0.127541879164046,0.168963816182635,0.754847297180062,0.450340611188068,0.610583933008997
"NM_001108462",194.440200687131,-2.24845713574978,0.336518525142158,-6.67396190259462,2.48988278815916e-11,1.1332918881026e-09
"NM_139094",1421.52735359318,0.110033948588667,0.150132862115918,0.732910774618189,0.463612851063488,0.622878746794916
"NM_001012061",490.507750528067,0.141159208130689,0.165416577595217,0.853255323615167,0.393517729564546,0.558827331695597
"NM_181474",457.749066547924,-0.472802299572404,0.173765644709999,-2.72132866310764,0.00650200810539386,0.0252208430736786
